word,stem
inabutan,abot
umabot,abot
maagang,aga
makaahon,ahon
maakyatang,akyat
maakyat,akyat
umakyat,akyat
paalala,alaala
naalala,alaala
alagang,alaga
inalagaan,alaga
pagaalaga,alaga
magalala,alala
nagaalala,alala
nagalala,alala
malaman,alam
nalaman,alam
alamin,alam
inialay,alay
umalis,alis
pag-alis,alis
magalis,alis
nagsialis,alis
magaliw,aliw
pag-andar,andar
angatin,angat
inaangkin,angkin
naaaninag,aninag
naaninag,aninag
inaantok,antok
inanyayahan,anyaya
ikaapat,apat
pangapat,apat
umapaw,apaw
pinag-aaralan,aral
arawaraw,araw
naaarawan,araw
ariarian,ari
maaaring,aring
nagasawa,asawa
asawang,asawa
mag-asawa,asawa
asong,aso
umatras,atras
awangawa,awa
naawa,awa
pagmamakaawa,awa
nagaaway,away
inayang,aya
ayokong,ayoko
bumaba,baba
mababa,baba
bumabang,baba
ibabaw,babaw
kaybagal,bagal
bagong,bago
nagbago,bago
pagbabago,bago
panibagong,bago
pagbagsak,bagsak
mabagsik,bagsik
babaha,baha
bahaging,bahagi
bahagyang,bahagya
bahaybahay,bahay
kabahayan,bahay
mababait,bait
magbabakasyon,bakasyon
mabalahibong,balahibo
ibalik,balik
magbalik,balik
makabalik,balik
ibinalita,balita
namamaluktot,baluktot
bango-bango,bango
nakabantay,bantay
pagbabantay,bantay
ibaon,baon
tagabaryo,baryo
nagbasa,basa
basang-basang,basa
binabasa,basa
basong,baso
batang,bata
nababawasan,bawas
nabawasan,bawas
nabawi,bawi
pagbabayaran,bayad
magbabayad,bayad
makabayad,bayad
mababayaran,bayad
magbayad,bayad
bigyan,bigay
binigyan,bigay
ibibigay,bigay
magbibigay,bigay
maibigay,bigay
ipinabibigay,bigay
biglang,bigla
biglang-biglang,bigla
pambihira,bihira
pambihirang,bihira
nakabihis,bihis
bumilang,bilang
ibinilanggo,bilanggo
mabili,bili
bibilhin,bili
napagbilhan,bili
naibili,bili
nakabili,bili
naipagbili,bili
bumili,bili
bibili,bili
mabilis,bilis
bilis-bilis,bilis
mabilog,bilog
pabirobiro,biro
bisyo,bisyo
naglalambitin,bitin
bituing,bituin
kabiyak,biyak
ibuga,buga
mabubuhay,buhay
bumuhos,buhos
binuksan,bukas
kinabukasan,bukas
bukirin,bukid
nabulok,bulok
mamumunga,bunga
mamunga,bunga
bunsong,bunso
buong,buo
kabuuang,buo
kabuuan,buo
bumubusina,busina
butihing,buti
mabuti,buti
buwang,buwan
nagdaraang,daan
dumaraan,daan
dumaan,daan
nagdaan,daan
dadagdagan,dagdag
dumagondong,dagondong
dumagsa,dagsa
dahan-dahan,dahan
nagkadahon,dahon
dakilang,dakila
dakmain,dakma
dinala,dala
nagdadala,dala
daladalang,dala
dalang,dala
madalas,dalas
dinalaw,dalaw
dalawin,dalaw
dumalaw,dalaw
dalawang,dalawa
pangalawang,dalawa
ikalawang,dalawa
dadalhin,dalhin
dalingdali,dali
nagmamadaling,dali
dali-daling,dali
madaling,dali
magmadaling,dali
dumalo,dalo
marami,dami
maraming,dami
daming,dami
dadami,dami
dumami,dami
napakarami,dami
dumampot,dampot
dumapa,dapa
dumapo,dapo
nagdasal,dasal
dating,dati
dumating,dating
pagdating,dating
marating,dating
makararating,dating
nakarating,dating
diniinan,diin
nadikit,dikit
nakadilat,dilat
pagdilat,dilat
diniligan,dilig
dumidilim,dilim
pagdilim,dilim
madilim,dilim
napakadilim,dilim
maringal,dingal
narinig,dinig
nakarinig,dinig
naririnig,dinig
nakadispley,displey
naparito,dito
dumugo,dugo
dumudugo,dugo
dinukot,dukot
dulutan,dulot
marumi,dumi
marunong,dunong
magensayo,ensayo
gumaan,gaan
gabing,gabi
gabi-gabi,gabi
maghatinggabi,gabi
iginala,gala
magalang,galang
paggalang,galang
galawgaw,galaw
gumalaw,galaw
ginalaw-galaw,galaw
galinggaling,galing
magaling,galing
kagalit,galit
nagalit,galit
pagpapagamot,gamot
saganang,gana
gaganda,ganda
maganda,ganda
magandang,ganda
pinakamagandang,ganda
kagandang,ganda
magaganda,ganda
napakaganda,ganda
kagandahang,ganda
ganitong,ganito
ginagawa,gawa
kagagawan,gawa
magpagawa,gawa
nagagawang,gawa
paggawa,gawa
gagawa,gawa
ginawa,gawa
gumawa,gawa
ginawang,gawa
makagawa,gawa
gawaan,gawa
pagawaan,gawa
pagkakagawa,gawa
pagkagawa,gawa
nagpagawa,gawa
gumagawa,gawa
igagawa,gawa
nagawi,gawi
gagawing,gawi
ginagaya,gaya
gayagaya,gaya
nagiginaw,ginaw
gintong,ginto
magkakaginto,ginto
nagigising,gising
nanggigising,gising
pagkagising,gising
gumising,gising
nagising,gising
magising,gising
paggising,gising
gumuguhit,guhit
nagulat,gulat
nagustuhan,gusto
mahabang,haba
mahaba,haba
hinabol,habol
naghabulan,habol
paghahabulan,habol
ihagis,hagis
hahagisan,hagis
humagulgol,hagulgol
panghagupit,hagupit
humakbang,hakbang
mahahalatang,halata
nagpahalata,halata
hahalikan,halik
hinahalikan,halik
halika't,halika
pinaghalong,halo
naghalungkat,halungkat
hanapin,hanap
hinahanap,hanap
maghanapbuhay,hanapbuhay
handaan,handa
ipinahanda,handa
nagpahanda,handa
inihanda,handa
kahangahanga,hanga
hinahangaan,hanga
kahanga-hanga,hanga
maghapon,hapon
maghapong,hapon
harangin,harang
haharangin,harang
nakaharap,harap
humarap,harap
haring,hari
humaharurot,harurot
kalahati,hati
naghati,hati
paghahati,hati
hinati,hati
hahatian,hati
maghatinggabi,hatinggabi
mahawa,hawa
hinawakan,hawak
hawakan,hawak
nakahiga,higa
mahiga,higa
higanteng,higante
mahigpit,higpit
humikab,hikab
hilain,hila
mahilig,hilig
nahilo,hilo
hinimas,himas
hinimatay,himatay
mahimbing,himbing
kayhina,hina
naghihinagpis,hinagpis
makahinga,hinga
nakahinga,hinga
humingi,hingi
pahingi,hingi
naghihintay,hintay
hinihintay,hintay
kahihintay,hintay
naghintay,hintay
hinintay,hintay
nahinto,hinto
mahihirap,hirap
mahiwagang,hiwaga
hiyanghiya,hiya
ikahiya,hiya
ikinahihiya,hiya
mahiyaing,hiya
pinahiya,hiya
naghiyawan,hiyaw
hinuli,huli
nahuli,huli
panghuhuli,huli
ipinahuli,huli
inihulog,hulog
humuhuni,huni
magkaiba,iba
iba-iba,iba
kakaibang,iba
ibang,iba
kakaiba,iba
naiibang,iba
maibigan,ibig
umihip,ihip
maikli,ikli
pag-ikot,ikot
pinaikot,ikot
iniikot-ikot,ikot
inimbita,imbita
umimbulog,imbulog
mainam,inam
naiinggit,inggit
mag-ingles,ingles
nainip,inip
iniinis,inis
umiinit,init
mainit,init
pinainom,inom
painumin,inom
uminom,inom
makaiinom,inom
nakainom,inom
naintindihan,intindi
iniipon,ipon
naipon,ipon
pagiipon,ipon
magisa,isa
isang,isa
nag-iisa,isa
iniisip,isip
nagisip,isip
naisip,isip
umisip,isip
nag-isip,isip
naiisip,isip
nangitim,itim
mangitlog,itlog
nangingitlog,itlog
naiwan,iwan
iniwan,iwan
umiiyak,iyak
umiyak,iyak
maiiyak,iyak
nakaraang,kaarang
kakabitan,kabit
kinagat,kagat
kumagat,kagat
kahariang,kaharian
kumakahol,kahol
kakahuyan,kahoy
kaibigang,kaibigan
magkaibigan,kaibigan
kainin,kain
kakain,kain
kinain,kain
kinakain,kain
kumain,kain
kumakain,kain
makain,kain
pagkain,kain
pinakain,kain
pagkakain,kain
kalarong,kalaro
kumalat,kalat
nakakalat,kalat
kumalog,kalog
kaming,kami
napakamot,kamot
kanang,kanan
kanilang,kanila
kinantahan,kanta
pakantakanta,kanta
kaniyang,kanya
kumapal,kapal
makapangyarihan,kapangyarihan
magkapatid,kapatid
kumapit,kapit
pagkaraang,karaan
kinarga,karga
ipakasal,kasal
makasal,kasal
pakakasal,kasal
pakakasalan,kasal
pakasal,kasal
kasyangkasya,kasya
magkasya,kasya
kumatok,katok
kumawala,kawala
pakakawalan,kawala
pakawalan,kawala
pinakawalan,kawala
kawawang,kawawa
kinilabutan,kilabot
ipapakilala,kilala
ipinakilala,kilala
nagpakilala,kilala
nakilalang,kilala
kakilala,kilala
kumilos,kilos
kumikinang,kinang
makinang,kinang
nakinig,kinig
pakikinig,kinig
makinis,kinis
makisig,kisig
kumikislap,kislap
magpakita,kita
makikita,kita
makita,kita
nagkikita,kita
nagpakita,kita
nakakita,kita
nakita,kita
nakitang,kita
nakikitang,kita
mangolekta,kolekta
ikinokompara,kompara
kumontra,kontra
nagkubli,kubli
kinuha,kuha
kumuha,kuha
makukuha,kuha
makuha,kuha
nakuha,kuha
makulay,kulay
kulimlim,kulimlim
napakakukulit,kulit
kinukumbida,kumbida
ikinuskos,kuskos
ikinwento,kwento
naglalaba,laba
ilabas,labas
inilabas,labas
lumabas,labas
palabas,labas
lalabas,labas
lumabo,labo
ilagay,lagay
nilagyan,lagay
inilagay,lagay
lalagyan,lagay
palagi,lagi
malaglag,laglag
naglakad,lakad
lumakas,lakas
malakas,lakas
napakalakas,lakas
paglalakbay,lakbay
laking,laki
malaki,laki
malaking,laki
malakit,laki
malalaking,laki
nanlaki,laki
paglaki,laki
pinakamalaki,laki
pinakamalaking,laki
lumaki,laki
lakilaki,laki
napakalaking,laki
ilalim,lalim
lalong,lalo
nalaman,laman
nilalamangan,lamang
napaglalamangan,lamang
lumalamig,lamig
malamig,lamig
paglanding,landing
nalanta,lanta
lumapit,lapit
nilapitan,lapit
palapit,lapit
lumalapit,lapit
maglaro,laro
naglalaro,laro
paglalaro,laro
paglalaruan,laro
pinaglalaruan,laro
naglaro,laro
palaruan,laro
inilatag,latag
lumatag,latag
malawak,lawak
palayain,laya
palayasin,layas
palayo,layo
layo-layo,layo
magkalayo,layo
malayo,layo
napaglibangan,libang
naliligaw,ligaw
makaligtas,ligtas
nakaligtas,ligtas
maliliit,liit
maliit,liit
liitliit,liit
nanliliit,liit
limang,lima
panlimang,lima
ikalimang,lima
malimot,limot
nakalimutan,limot
nakalimot,limot
lumilinaw,linaw
lumilinga-linga,linga
lumilingalinga,linga
sanlinggong,linggo
linis-linis,linis
inililipad,lipad
makalipas,lipas
paglipas,lipas
lumitaw,litaw
lumilitaw,litaw
nalito,lito
lumiliwanag,liwanag
magliwanag,liwanag
maliwanag,liwanag
pagliwanag,liwanag
lumiwanag,liwanag
lumobo,lobo
manlolokong,loko
loobang,loob
pumaloob,loob
lumubha,lubha
nalublob,lublob
luboslubos,lubos
lumuhod,luhod
luko-luko,luko
naloloko,luko
paglukso,lukso
nakalulon,lulon
lumang,luma
malungkot,lungkot
malulungkot,lungkot
nalunod,lunod
malunod,lunod
malulunod,lunod
kalupitan,lupit
malupit,lupit
nalulusaw,lusaw
malusog,lusog
kalusugan,lusog
paglusot,lusot
lumusot,lusot
nakalutang,lutang
lumulutang,lutang
lumutang,lutang
iluto,luto
magluto,luto
nagluluto,luto
nagluto,luto
iluluto,luto
maluwag,luwag
lumuwas,luwas
pagluwas,luwas
nagmamadali,madali
magandang,maganda
mahabang,mahaba
magkamalay,malay
kamalaymalay,malay
mali-mali,mali
nagkamali,mali
kamanghamangha,mangha
manghang,mangha
namangha,mangha
masamang,masama
maya-maya,maya
namememorya,memorya
milyonmilyong,milyon
nagmumukmok,mukmok
magmula,mula
nagmula,mula
pinagmulan,mula
muling,muli
munting,munti
ninakaw,nakaw
malinamnam,namnam
nangapa,ngapa
nangatog,ngatog
nanginginig,nginig
ngumingiti,ngiti
nakangiting,ngiti
ngumingiyaw,ngiyaw
maningning,ningning
nagningning,ningning
noong,noon
orasan,oras
orasoras,oras
pabayaang,pabaya
napapagod,pagod
napagod,pagod
pinapagpag,pagpag
pinahid,pahid
nagpapahinga,pahinga
mapakali,pakali
mapalad,palad
pumalakpak,palakpak
palalamutian,palamuti
nagpalit,palit
ipalit,palit
napalitan,palit
nanaginip,panaginip
napanaginip,panaginip
panaginip,panaginip
ipanganak,panganak
pangangarap,pangarap
nakapansin,pansin
napansin,pansin
napapansin,pansin
pansinin,pansin
pumansin,pansin
pinansin,pansin
kaparis,paris
magparusa,parusa
pagpasok,pasok
pinasok,pasok
pumasok,pasok
pumasyal,pasyal
namamasyal,pasyal
mamatay,patay
patayin,patay
namatay,patay
pakipatay,patay
papatungan,patong
nakapatong,patong
pumayag,payag
tagapayo,payo
nagpayong,payong
perang,pera
mapigilan,pigil
pinatigil,pigil
pumikit,pikit
napikon,pikon
pipili,pili
mamimili,pili
pinipilit,pilit
pinongpino,pino
pintuan,pinto
kapirasong,piraso
pamimitas,pitas
mapitas,pitas
mamitas,pitas
pobrengpobre,pobre
nagpupugay,pugay
magpugay,pugay
namumula,pula
mapula,pula
pupula,pula
namula,pula
pulidong,pulido
napulot,pulot
pulubing,pulubi
punongpuno,puno
punong,puno
magpunta,punta
nagpunta,punta
pinuntahan,punta
pupunta,punta
pumunta,punta
pinapunta,punta
puti-puti,puti
pumuti,puti
maputi,puti
maputlang,putla
puwedeng,puwede
nagpupuyat,puyat
pakiramdam,ramdam
nakarating,rating
niregaluhan,regalo
irerekomenda,rekomenda
marikit,rikit
marinig,rinig
marurunong,runong
marunong,runong
nasaan,saan
sabihin,sabi
sinabi,sabi
sinasabi,sabi
nasasabik,sabik
sasabitan,sabit
nagsabog,sabog
sasabog,sabog
sinasadya,sadya
sumagot,sagot
sinagot,sagot
maisagot,sagot
masahol,sahol
sumakay,sakay
kasakiman,sakim
masakit,sakit
sakitin,sakit
nagkasakit,sakit
saklolohan,saklolo
nasaksihan,saksi
saksihan,saksi
nagpasalamat,salamat
pasasalamat,salamat
salbaheng,salbahe
salba-salbahe,salbahe
nagsaliksik,saliksik
salinan,salin
magsalita,salita
nagsalita,salita
salosalo,salo
nakasalubong,salubong
makasama,sama
masamang,sama
nagsasama,sama
masama,sama
sumasama,sama
kasamang,sama
kasama,sama
nasambit,sambit
sinamsam,samsam
sinanay,sanay
kasangkapan,sangkap
magsasapatos,sapatos
masarap,sarap
isauli,sauli
kasawian,sawi
masayang,saya
masaya,saya
masayangmasaya,saya
sasaya,saya
magsayang,sayang
nasasayang,sayang
sayangin,sayang
nagsayaw,sayaw
pasayawsayaw,sayaw
sumayaw,sayaw
nagsayawan,sayaw
maselan,selan
nagsisigaw,sigaw
sumigaw,sigaw
napasigaw,sigaw
sumigla,sigla
masikap,sikap
nagsiksik,siksik
isinilang,silang
pagsilang,silang
nakasisilaw,silaw
pagsilay,silay
nakasilip,silip
nasilip,silip
sinisilip,silip
nagmula,simula
nagsisimula,simula
nakasindi,sindi
napasinga,singa
sumisinghot,singhot
masipag,sipag
nasirang,sira
magsisi,sisi
sumisid,sisid
sisisid,sisid
sumobra,sobra
nasorpresa,sorpresa
sinubukang,subok
sinubukan,subok
isinugod,sugod
magsuka,suka
sumuka,suka
magsukat,sukat
nagsukat,sukat
sukatin,sukat
nasulyapan,sulyap
nagsumbong,sumbong
sinusundan,sundan
sinundan,sundan
nagkasundo,sundo
susunggab,sunggab
masungit,sungit
napakasungit,sungit
nasusunod,sunod
sinunod,sunod
sumunod,sunod
sunodsunod,sunod
susunod,sunod
masusunog,sunog
sinuntok,suntok
isinuot,suot
isuot,suot
isinusuot,suot
sinusuri,suri
itinaas,taas
mataas,taas
itaas,taas
tumaas,taas
matabang,taba
pataba,taba
tinabas,tabas
itinabi,tabi
tatadtarin,tadtad
natae,tae
matagal,tagal
tumagal,tagal
magtago,tago
nagtatago,tago
nakapagtago,tago
nakatago,tago
nagtago,tago
pinagtataguan,tago
nagtatagpo,tagpo
makatagpo,tagpo
mananahi,tahi
tatahiin,tahi
tatahiing,tahi
tinahi,tahi
itinatahi,tahi
nagtatakang,taka
nagtaka,taka
pagtakas,takas
tinakbong,takbo
tumakbo,takbo
tumatakbo,takbo
tatakbo,takbo
matakot,takot
nakatatakot,takot
tinakot,takot
tinatakot,takot
natatakot,takot
pananakot,takot
itali,tali
naitali,tali
matalinong,talino
nagtatalon,talon
napatalon,talon
patalontalon,talon
tumalon,talon
matamis,tamis
nagtampo,tampo
natanaw,tanaw
tinanaw,tanaw
tumanda,tanda
tinangay,tangay
natangay,tangay
natanggal,tanggal
tanging,tangi
nagtangkang,tangka
tatango,tango
tumango,tango
pananim,tanim
nagtanim,tanim
tinanong,tanong
itinatanong,tanong
itinanong,tanong
magtanong,tanong
taong,tao
pagkakataong,taon
nagkataong,taon
tapangtapang,tapang
napakatapang,tapang
matapang,tapang
pagtapat,tapat
tumapat,tapat
tinapik,tapik
tumapik,tapik
itapon,tapon
itinapon,tapon
katapsan,tapos
matapostapos,tapos
pagkatapos,tapos
matapos,tapos
tinapos,tapos
pangatlong,tatlo
ikatlong,tatlo
nagtawanan,tawa
pinagtatawan,tawa
pinagtatawanan,tawa
pinagtawanan,tawa
pinatawa,tawa
tumawa,tawa
nagtawa,tawa
tinawag,tawag
ipinatawag,tawag
tinatawag,tawag
napatawag,tawag
tumatawag,tawag
pagtawid,tawid
tumayo,tayo
matitibay,tibay
matigas,tigas
nanigas,tigas
pinatigil,tigil
tumigil,tigil
nakatiis,tiis
tinikman,tikim
tumitiklop,tiklop
makatilaok,tilaok
pagtilaok,tilaok
titilaok,tilaok
tumilaok,tilaok
tumitilaok,tilaok
nakatinag,tinag
nakatingala,tingala
tumingala,tingala
makatingin,tingin
napatingin,tingin
tumingin,tingin
tingnan,tingin
matinis,tinis
matipid,tipid
nanatiling,tira
nakatira,tira
natitira,tira
tumira,tira
itirintas,tirintas
natisod,tisod
maniwala,tiwala
naniwala,tiwala
maniwalang,tiwala
matiyaga,tiyaga
pagtratrabaho,trabaho
nagtatrabaho,trabaho
magtrabaho,trabaho
itinatratong,trato
tumubong,tubo
tukay,tuka
tuklasin,tuklas
tinutukso,tukso
itinulak,tulak
tumutulo,tulo
natulog,tulog
natutulog,tulog
nakatulog,tulog
matulog,tulog
makatutulog,tulog
pagtulog,tulog
maitulong,tulong
matulungan,tulong
naitutulong,tulong
tulungan,tulong
tumulong,tulong
tumutulong,tulong
matutulungan,tulong
pinagtutulungan,tulong
nagpatuloy,tuloy
patuloy,tuloy
natumba,tumba
nakatungo,tungo
tumungo,tungo
patungong,tungo
nagtungo,tungo
patungo,tungo
tinupad,tupad
itinuro,turo
itinuturo,turo
magtuturo,turo
tinuruan,turo
turuan,turo
matuto,tuto
matutung,tuto
natuto,tuto
natutunan,tuto
tumutol,tutol
tuwangtuwa,tuwa
tuwangtuwang,tuwa
natutuwang,tuwa
tuwang-tuwa,tuwa
maubos,ubos
naubos,ubos
inuubos,ubos
iulam,ulam
kinaumagahan,umaga
nag-umaga,umaga
nauunang,una
mauuna,una
unang,una
iniunat,unat
untiunting,unti
kakaunti,unti
naupo,upo
nauupo,upo
napaupo,upo
umupo,upo
nakaupo,upo
naguusap,usap
kinausap,usap
inusyoso,usyo
iniutos,utos
inutusan,utos
umuwi,uwi
uwian,uwi
kawala,wala
nawala,wala
walang,wala
mawala,wala
waring,wari
iniwasiwas,wasiwas
niyakap,yakap
mayaman,yaman
kayamanan,yaman
mayamang,yaman
mayari,yari
nangyayari,yari
nangyari,yari
mangyayari,yari
yumuko,yuko
makatikim,tikim
nakatikim,tikim
patikim,tikim
tumikim,tikim
tikman,tikim
patikman,tikim
natapakan,tapak
tinapakan ,tapak
tapakan,tapak
itapak,tapak
makatapak,tapak
nakatapak,tapak
tumapak,tapak
nandidiri,diri
kadiri,diri
nakakadiri,diri
mandiri,diri
mabaho,baho
mabahong,baho
